date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:09:10	23494/23494	---MCZ	200	added ('OK')	text/html	date:Fri,%2003%20Mar%202023%2012:09:20%20GMT	https://tl-centre.ge/Courses/%e1%83%98%e1%83%9c%e1%83%92%e1%83%9a%e1%83%98%e1%83%a1%e1%83%a3%e1%83%a0%e1%83%98-%e1%83%90%e1%83%91%e1%83%98%e1%83%a2%e1%83%a3%e1%83%a0%e1%83%98%e1%83%94%e1%83%9c%e1%83%a2%e1%83%94%e1%83%91%e1%83%98%e1%83%a1%e1%83%90%e1%83%97%e1%83%95%e1%83%98%e1%83%a1/	C:/My%20Web%20Sites/tl-center/tl-centre.ge/Courses/%e1%83%98%e1%83%9c%e1%83%92%e1%83%9a%e1%83%98%e1%83%a1%e1%83%a3%e1%83%a0%e1%83%98-%e1%83%90%e1%83%91%e1%83%98%e1%83%a2%e1%83%a3%e1%83%a0%e1%83%98%e1%83%94%e1%83%9c%e1%83%a2%e1%83%94%e1%83%91%e1%83%98%e1%83%a1%e1%83%90%e1%83%97%e1%83%95%e1%83%98%e1%83%a1/index.html	(from https://tl-centre.ge/)
16:09:10	327775/327775	---M-Z	200	added ('OK')	application/x-javascript	etag:%22d0344b8663ae30335f16edc02b48ae15%22	https://connect.facebook.net/en_US/sdk/xfbml.customerchat.js	C:/My%20Web%20Sites/tl-center/connect.facebook.net/en_US/sdk/xfbml.customerchat.js	(from https://tl-centre.ge/)
16:09:11	25627/25627	---MCZ	200	added ('OK')	text/html	date:Fri,%2003%20Mar%202023%2012:09:21%20GMT	https://tl-centre.ge/Courses/IELTS-sagamocdo-cursi/	C:/My%20Web%20Sites/tl-center/tl-centre.ge/Courses/IELTS-sagamocdo-cursi/index.html	(from https://tl-centre.ge/)
16:09:11	17115/17115	---MCZ	200	added ('OK')	text/html	date:Fri,%2003%20Mar%202023%2012:09:23%20GMT	https://tl-centre.ge/News/	C:/My%20Web%20Sites/tl-center/tl-centre.ge/News/index.html	(from https://tl-centre.ge/)
16:09:11	25027/25027	---MCZ	200	added ('OK')	text/html	date:Fri,%2003%20Mar%202023%2012:09:23%20GMT	https://tl-centre.ge/Courses/momzadeba-FCE-gamocdistvis/	C:/My%20Web%20Sites/tl-center/tl-centre.ge/Courses/momzadeba-FCE-gamocdistvis/index.html	(from https://tl-centre.ge/)
16:09:11	3531/3531	---M--	200	added ('OK')	image/png	date:Sun,%2027%20Mar%202022%2016:34:02%20GMT	https://tl-centre.ge/img/icons/menu.png	C:/My%20Web%20Sites/tl-center/tl-centre.ge/img/icons/menu.png	(from https://tl-centre.ge/css/header.css?v=1677845353)
16:09:11	18381/18381	---MCZ	200	added ('OK')	text/html	date:Fri,%2003%20Mar%202023%2012:09:23%20GMT	https://tl-centre.ge/about/	C:/My%20Web%20Sites/tl-center/tl-centre.ge/about/index.html	(from https://tl-centre.ge/)
16:09:11	16371/16371	---MCZ	200	added ('OK')	text/html	date:Fri,%2003%20Mar%202023%2012:09:24%20GMT	https://tl-centre.ge/contacts/	C:/My%20Web%20Sites/tl-center/tl-centre.ge/contacts/index.html	(from https://tl-centre.ge/)
16:09:11	244/244	---M-Z	404	error ('Not%20Found')	text/html	date:Sun,%2027%20Mar%202022%2016:34:55%20GMT	https://tl-centre.ge/img/icons/spinner-tide.gif	C:/My%20Web%20Sites/tl-center/tl-centre.ge/img/icons/spinner-tide.gif	(from https://tl-centre.ge/css/header.css?v=1677845353)
16:09:12	162778/162778	---M--	200	added ('OK')	image/jpeg	date:Sun,%2027%20Mar%202022%2016:33:57%20GMT	https://tl-centre.ge/img/contact_image.jpg	C:/My%20Web%20Sites/tl-center/tl-centre.ge/img/contact_image.jpg	(from https://tl-centre.ge/css/header.css?v=1677845353)
16:09:12	3884/3884	---M--	200	added ('OK')	image/png	date:Sun,%2027%20Mar%202022%2016:33:57%20GMT	https://tl-centre.ge/img/call.png	C:/My%20Web%20Sites/tl-center/tl-centre.ge/img/call.png	(from https://tl-centre.ge/css/header.css?v=1677845353)
16:09:12	13749/13749	---MCZ	200	added ('OK')	text/html	date:Fri,%2003%20Mar%202023%2012:09:25%20GMT	https://tl-centre.ge/test/	C:/My%20Web%20Sites/tl-center/tl-centre.ge/test/index.html	(from https://tl-centre.ge/)
16:09:12	3878/3878	---M--	200	added ('OK')	image/png	date:Sun,%2027%20Mar%202022%2016:34:03%20GMT	https://tl-centre.ge/img/mail.png	C:/My%20Web%20Sites/tl-center/tl-centre.ge/img/mail.png	(from https://tl-centre.ge/css/header.css?v=1677845353)
16:09:12	4330/4330	---M--	200	added ('OK')	image/png	date:Sun,%2027%20Mar%202022%2016:33:55%20GMT	https://tl-centre.ge/img/adress.png	C:/My%20Web%20Sites/tl-center/tl-centre.ge/img/adress.png	(from https://tl-centre.ge/css/header.css?v=1677845353)
16:09:12	13443/13443	---M--	200	added ('OK')	image/png	date:Sun,%2027%20Mar%202022%2016:34:02%20GMT	https://tl-centre.ge/img/logo.png	C:/My%20Web%20Sites/tl-center/tl-centre.ge/img/logo.png	(from https://tl-centre.ge/css/header.css?v=1677845353)
16:09:13	17351/17351	---MCZ	200	added ('OK')	text/html	date:Fri,%2003%20Mar%202023%2012:09:25%20GMT	https://tl-centre.ge/all-Courses/	C:/My%20Web%20Sites/tl-center/tl-centre.ge/all-Courses/index.html	(from https://tl-centre.ge/)
16:09:13	49800/49800	---M-Z	200	added ('OK')	font/ttf	date:Sun,%2027%20Mar%202022%2016:33:53%20GMT	https://tl-centre.ge/fonts/ar-archy-semibold.ttf	C:/My%20Web%20Sites/tl-center/tl-centre.ge/fonts/ar-archy-semibold.ttf	(from https://tl-centre.ge/css/geo.css?v=1677845353)
